feature,importance
points,0.263207029411439
wins,0.1957824743688578
goals_against_per_game,0.14863283564179167
goal_efficiency,0.07306611503493295
points_per_game,0.06754444471700197
defense_strength,0.06317333632676322
attack_strength,0.03405491643493163
goals_per_game,0.031028154119245612
goals_for,0.030558381033114347
overall_strength,0.02865611877853362
win_rate,0.020648827785454158
goal_difference,0.020150984114569035
loss_rate,0.01283325597063743
goals_against,0.005922378825899487
losses,0.003407366148530462
consistency,0.0006121183826753561
games_played,0.0004427041329362272
draw_rate,0.00014719194411815043
draws,0.00013136682856775355
